 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 RESTART OPTION: INITIAL SOLUTION IS READ
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
    1298 0.313E-05 0.422E-05 0.271E-05 0.505E-05
    1299 0.375E-05 0.560E-05 0.255E-05 0.505E-05
    1300 0.375E-05 0.523E-05 0.255E-05 0.505E-05
    1301 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1302 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1303 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1304 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1305 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1306 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1307 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1308 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1309 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1310 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1311 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1312 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1313 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1314 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1315 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1316 0.375E-05 0.560E-05 0.235E-05 0.505E-05
    1317 0.375E-05 0.598E-05 0.181E-05 0.505E-05
    1318 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1319 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1320 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1321 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1322 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1323 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1324 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1325 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1326 0.375E-05 0.598E-05 0.181E-05 0.505E-05
    1327 0.375E-05 0.598E-05 0.181E-05 0.505E-05
    1328 0.375E-05 0.598E-05 0.181E-05 0.505E-05
    1329 0.375E-05 0.598E-05 0.181E-05 0.505E-05
    1330 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1331 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1332 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1333 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1334 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1335 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1336 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1337 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1338 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1339 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1340 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1341 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1342 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1343 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1344 0.375E-05 0.598E-05 0.213E-05 0.505E-05
    1345 0.375E-05 0.598E-05 0.213E-05 0.505E-05
